HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2412,60.3
Group 1,BB,2016,Higher,2342,58.55
Group 1,BB,2018,Higher,2303,57.575
Group 3,BB,2015,Higher,2575,64.375
Group 3,BB,2016,Higher,2396,59.9
Group 3,BB,2018,Higher,2217,55.425
Group 3,Cooba,2015,Higher,2425,60.625
Group 3,Cooba,2016,Higher,2543,63.575
Group 3,Cooba,2018,Higher,2675,66.875
Group 3,RRG,2015,Higher,2292,57.3
Group 3,RRG,2016,Higher,2037,50.925
Group 3,RRG,2018,Higher,1517,37.925
Group 5,RRG,2015,Higher,3364,84.1
Group 5,RRG,2016,Higher,3050,76.25
Group 5,RRG,2018,Higher,2029,50.725
Group 1,BB,2015,Lower,1588,39.7
Group 1,BB,2016,Lower,1658,41.45
Group 1,BB,2018,Lower,1697,42.425
Group 3,BB,2015,Lower,1425,35.625
Group 3,BB,2016,Lower,1604,40.1
Group 3,BB,2018,Lower,1783,44.575
Group 3,Cooba,2015,Lower,1575,39.375
Group 3,Cooba,2016,Lower,1457,36.425
Group 3,Cooba,2018,Lower,1325,33.125
Group 3,RRG,2015,Lower,1708,42.7
Group 3,RRG,2016,Lower,1963,49.075
Group 3,RRG,2018,Lower,2483,62.075
Group 5,RRG,2015,Lower,636,15.9
Group 5,RRG,2016,Lower,950,23.75
Group 5,RRG,2018,Lower,1971,49.275
Group 1,BB,2015,Same,0,0
Group 1,BB,2016,Same,0,0
Group 1,BB,2018,Same,0,0
Group 3,BB,2015,Same,0,0
Group 3,BB,2016,Same,0,0
Group 3,BB,2018,Same,0,0
Group 3,Cooba,2015,Same,0,0
Group 3,Cooba,2016,Same,0,0
Group 3,Cooba,2018,Same,0,0
Group 3,RRG,2015,Same,0,0
Group 3,RRG,2016,Same,0,0
Group 3,RRG,2018,Same,0,0
Group 5,RRG,2015,Same,0,0
Group 5,RRG,2016,Same,0,0
Group 5,RRG,2018,Same,0,0
