time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,7,7,3,10,7,7 (3 to 10)
-1.5,2015,BB,Group 1,4e3,4e3,8,7.58,4,11,7,7 (4 to 11)
-1.5,2015,BB,Group 3,4e3,4e3,8,8.25,5,12,7,7 (5 to 12)
-1.5,2015,Cooba,Group 2,4e3,4e3,8,7.69,4,11,7,7 (4 to 11)
-1.5,2015,Cooba,Group 3,4e3,4e3,9,9.1,3,13,10,10 (3 to 13)
-1.5,2015,RRG,Group 2,4e3,4e3,7,6.82,3,11,8,8 (3 to 11)
-1.5,2015,RRG,Group 3,4e3,4e3,8,7.64,2,13,11,11 (2 to 13)
-1.5,2015,RRG,Group 5,4e3,4e3,11,10.43,6,14,8,8 (6 to 14)
-0.5,2016,BB,Group 2,4e3,4e3,8,8.07,5,11.05,6.05,6.05 (5 to 11.05)
-0.5,2016,BB,Group 1,4e3,4e3,9,8.74,6,12,6,6 (6 to 12)
-0.5,2016,BB,Group 3,4e3,4e3,9,9.01,6,12,6,6 (6 to 12)
-0.5,2016,Cooba,Group 2,4e3,4e3,8,8.4,5,12,7,7 (5 to 12)
-0.5,2016,Cooba,Group 3,4e3,4e3,10,9.74,5,13,8,8 (5 to 13)
-0.5,2016,RRG,Group 2,4e3,4e3,8,8.39,5,12,7,7 (5 to 12)
-0.5,2016,RRG,Group 3,4e3,4e3,9,8.72,4,13,9,9 (4 to 13)
-0.5,2016,RRG,Group 5,4e3,4e3,11,10.8,7,14,7,7 (7 to 14)
1.5,2018,BB,Group 2,4e3,4e3,10,10.02,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 1,4e3,4e3,11,10.71,8,13,5,5 (8 to 13)
1.5,2018,BB,Group 3,4e3,4e3,11,10.36,7,13,6,6 (7 to 13)
1.5,2018,Cooba,Group 2,4e3,4e3,10,9.6,6,13,7,7 (6 to 13)
1.5,2018,Cooba,Group 3,4e3,4e3,11,10.81,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 2,4e3,4e3,11,10.97,8,14,6,6 (8 to 14)
1.5,2018,RRG,Group 3,4e3,4e3,11,10.59,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 5,4e3,4e3,11,10.85,7,14,7,7 (7 to 14)
