HYDRO_GP,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2043,51.075
Group 1,BB,2016,Higher,2099,52.475
Group 1,BB,2018,Higher,2019,50.475
Group 3,BB,2015,Higher,2458,61.45
Group 3,BB,2016,Higher,2329,58.225
Group 3,BB,2018,Higher,1834,45.85
Group 3,Cooba,2015,Higher,2508,62.7
Group 3,Cooba,2016,Higher,2495,62.375
Group 3,Cooba,2018,Higher,2488,62.2
Group 3,RRG,2015,Higher,2178,54.45
Group 3,RRG,2016,Higher,1983,49.575
Group 3,RRG,2018,Higher,1406,35.15
Group 5,RRG,2015,Higher,3367,84.175
Group 5,RRG,2016,Higher,2987,74.675
Group 5,RRG,2018,Higher,1611,40.275
Group 1,BB,2015,Lower,1412,35.3
Group 1,BB,2016,Lower,1326,33.15
Group 1,BB,2018,Lower,1360,34
Group 3,BB,2015,Lower,1109,27.725
Group 3,BB,2016,Lower,1139,28.475
Group 3,BB,2018,Lower,1559,38.975
Group 3,Cooba,2015,Lower,1103,27.575
Group 3,Cooba,2016,Lower,1014,25.35
Group 3,Cooba,2018,Lower,973,24.325
Group 3,RRG,2015,Lower,1393,34.825
Group 3,RRG,2016,Lower,1500,37.5
Group 3,RRG,2018,Lower,1901,47.525
Group 5,RRG,2015,Lower,397,9.925
Group 5,RRG,2016,Lower,640,16
Group 5,RRG,2018,Lower,1778,44.45
Group 1,BB,2015,Same,545,13.625
Group 1,BB,2016,Same,575,14.375
Group 1,BB,2018,Same,621,15.525
Group 3,BB,2015,Same,433,10.825
Group 3,BB,2016,Same,532,13.3
Group 3,BB,2018,Same,607,15.175
Group 3,Cooba,2015,Same,389,9.725
Group 3,Cooba,2016,Same,491,12.275
Group 3,Cooba,2018,Same,539,13.475
Group 3,RRG,2015,Same,429,10.725
Group 3,RRG,2016,Same,517,12.925
Group 3,RRG,2018,Same,693,17.325
Group 5,RRG,2015,Same,236,5.9
Group 5,RRG,2016,Same,373,9.325
Group 5,RRG,2018,Same,611,15.275
