time,Year,SPECIES,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
0,2018,Acacia stenophylla,Group 0,4000,4000,0.10281131246775774,0.16380625203791094,9.208525968877199e-4,0.5319997310557447,0.1 (0 to 0.5)
0,2018,Acacia stenophylla,Group 1,4000,4000,0.2988751137122425,0.3309252949058788,0.0319523792583637,0.735608195240208,0.3 (0 to 0.7)
0,2018,Acacia stenophylla,Group 2,4000,4000,0.3832904799465021,0.40522815097193143,0.05147485610220389,0.823668508043123,0.4 (0.1 to 0.8)
0,2018,Acacia stenophylla,Group 3,4000,4000,0.2988234784127026,0.335867075237187,0.029346568751747838,0.7646008187196146,0.3 (0 to 0.8)
0,2018,Acacia stenophylla,Group 5,4000,4000,0.22757746129529255,0.2733425944465077,0.016045129288104785,0.6828233215269361,0.2 (0 to 0.7)
0,2018,Acacia stenophylla,mixed,4000,4000,0.45376698002030713,0.46179304812531347,0.07108209297591767,0.8855801199005398,0.5 (0.1 to 0.9)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 1,4000,4000,0.21330975958198198,0.2711155388782666,0.005088243109941236,0.7290929253374662,0.2 (0 to 0.7)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,0.11601819527055376,0.1868135111659267,3.558182172908119e-4,0.6135551114534705,0.1 (0 to 0.6)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,0.2704586598641071,0.32019819608158995,0.007727668901342202,0.8047569998997051,0.3 (0 to 0.8)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,0.3561035418063858,0.38347879228957915,0.023600069619594467,0.8501168217555465,0.4 (0 to 0.9)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,0.6243527644865665,0.6001842050821655,0.19184176711819872,0.9396736334319026,0.6 (0.2 to 0.9)
0,2018,Eucalyptus largiflorens,Group 0,4000,4000,0.37927831555054614,0.39687915693290254,0.06221822163154604,0.803216629499523,0.4 (0.1 to 0.8)
0,2018,Eucalyptus largiflorens,Group 1,4000,4000,0.5423107424982383,0.5337029064345433,0.06799821285213271,0.9641109214246409,0.5 (0.1 to 1)
0,2018,Eucalyptus largiflorens,Group 2,4000,4000,0.8754676618720203,0.7925646021308546,0.31175639526602583,0.9999209082411993,0.9 (0.3 to 1)
0,2018,Eucalyptus largiflorens,Group 3,4000,4000,0.8316611457200545,0.7657452167446309,0.3109778897431381,0.9992589515013957,0.8 (0.3 to 1)
0,2018,Eucalyptus largiflorens,Group 5,4000,4000,0.17346960083274787,0.23471849181060175,0.0020345436512824427,0.6764424469061329,0.2 (0 to 0.7)
0,2018,Eucalyptus largiflorens,mixed,4000,4000,0.8232643623946254,0.768751221967571,0.3386487468525301,0.9971315267897218,0.8 (0.3 to 1)
